Swat_Edit (Swat Parameters Editor 2012) Version 2.5.9.2

________________________________________________________________________________________________________________________________________________________________________________________________________


r__SOL_AWC(1).sol  0.371300000000000

Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000100002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000110001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000110002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000120001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000130001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000130002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000140001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000140002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000150001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000150002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000150003.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000160001.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000160002.gw'  |  Line: '5'
Parameter: 'ALPHA_BF'  |  Value: { New: '0.000425'  Original: '0.048'  Old: '0.006241' }  |  File: '000170001.gw'  |  Line: '5'
