Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_3     225.839996      8.012005        102.917938      35.119999      
FLOW_OUT_3     340.769989      72.993950       731.129395      88.120003      
FLOW_OUT_3     326.320007      132.763763      564.514893      156.399994     
FLOW_OUT_3     197.050003      82.599968       302.210724      128.300003     
FLOW_OUT_3     31.150000       0.212725        79.133698       85.089996      
FLOW_OUT_3     11.440000       0.152550        56.748604       61.020000      
FLOW_OUT_3     19.100000       0.156167        44.038998       46.849998      
FLOW_OUT_3     44.599998       0.085640        39.822601       36.910000      
FLOW_OUT_3     50.490002       1.294340        66.996857       28.799999      
FLOW_OUT_3     55.730000       2.154940        34.664257       22.650000      
FLOW_OUT_3     69.220001       1.643048        114.605064      17.100000      
FLOW_OUT_3     111.110001      9.090255        386.722443      27.040001      
FLOW_OUT_3     155.419998      29.343565       521.490234      47.070000      
FLOW_OUT_3     631.669983      165.878998      882.841003      173.399994     
FLOW_OUT_3     255.000000      22.714201       199.241196      65.910004      
FLOW_OUT_3     26.420000       0.216900        40.343407       43.380001      
FLOW_OUT_3     17.910000       0.096867        27.316401       29.059999      
FLOW_OUT_3     6.510000        0.044880        20.869198       19.180000      
FLOW_OUT_3     17.540001       0.054225        20.171703       14.430000      
FLOW_OUT_3     36.080002       0.150550        56.004601       12.860000      
FLOW_OUT_3     52.349998       0.214500        39.897003       10.940000      
FLOW_OUT_3     59.099998       0.190875        71.005493       8.504000       
FLOW_OUT_3     55.590000       0.223700        83.216393       6.205000       
FLOW_OUT_3     60.889999       6.402245        219.382568      19.690001      
FLOW_OUT_3     88.389999       0.481500        179.117996      2.854000       
FLOW_OUT_3     219.330002      2.091596        443.580139      6.267000       
FLOW_OUT_3     134.919998      0.538667        300.576050      0.000000       
FLOW_OUT_3     31.590000       0.023143        15.065999       0.000000       
FLOW_OUT_3     14.520000       0.197280        91.735191       0.000000       
FLOW_OUT_3     0.420000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.000000        0.000002        0.000978        0.000000       
FLOW_OUT_3     14.250000       0.088817        49.559696       0.000000       
FLOW_OUT_3     58.400002       0.784000        437.472046      0.000000       
FLOW_OUT_3     53.360001       0.322333        179.861984      0.000000       
FLOW_OUT_3     52.180000       0.521677        35.130928       1.522000       
FLOW_OUT_3     83.910004       110.906998      654.351013      166.000000     
FLOW_OUT_3     305.769989      236.681000      1065.399048     266.899994     
FLOW_OUT_3     497.130005      30.229500       300.873962      72.519997      
FLOW_OUT_3     184.199997      15.725300       218.031586      56.119999      
FLOW_OUT_3     30.969999       0.162609        32.936501       35.410000      
FLOW_OUT_3     4.650000        0.038550        21.510899       23.129999      
FLOW_OUT_3     5.040000        0.029960        13.931400       14.980000      
FLOW_OUT_3     5.600000        0.018950        10.574100       11.370000      
FLOW_OUT_3     20.709999       0.024562        9.235499        9.825000       
FLOW_OUT_3     38.689999       0.166040        77.208611       8.548000       
FLOW_OUT_3     40.400002       0.073500        20.506498       6.893000       
FLOW_OUT_3     48.580002       0.658800        306.341980      6.957000       
FLOW_OUT_3     56.580002       0.295333        164.795990      4.650000       
FLOW_OUT_3     57.889999       1.462178        118.008766      3.792000       
