 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
observed       L95PPU         U95PPU         Best_Sim       M95PPU
2.080000        0.447825        54.933205       9.313000        17.779333      
12.510000       4.456905        21.869745       16.129999       17.862749      
22.180000       0.355694        16.289515       9.129000        12.412286      
44.610001       57.760727       315.072754      103.500000      115.147499     
35.090000       29.470512       377.384827      69.540001       94.439171      
53.520000       21.773193       238.790375      54.669998       67.884171      
85.519997       8.206930        87.179031       31.330000       36.994831      
373.470001      0.944886        32.353542       16.980000       20.564526      
306.000000      0.105750        19.880999       9.789000        11.745833      
113.190002      0.091350        17.173800       8.234000        10.191167      
23.120001       0.088700        16.719950       8.839000        10.355916      
5.820000        0.168000        20.608000       10.930000       13.643691      
20.209999       16.244026       146.171204      34.689999       45.528332      
28.910000       1.828045        82.737747       13.750000       24.275583      
37.340000       29.831539       83.123299       51.520000       47.261662      
50.110001       81.530518       408.752655      171.199997      170.421677     
54.509998       95.812805       406.447235      179.899994      179.256668     
60.209999       53.774807       300.961609      88.910004       102.175835     
125.029999      12.561299       180.366379      56.270000       65.118332      
192.000000      0.462900        56.782402       36.160000       36.310913      
157.570007      0.262350        49.059456       29.520000       29.677500      
52.119999       0.237000        44.674503       27.070000       27.397875      
7.700000        0.216800        40.866798       25.330000       25.596609      
10.060000       0.204850        38.614227       24.690001       24.697708      
8.250000        9.141126        136.813995      35.439999       47.065418      
14.400000       9.275305        59.491028       38.570000       39.306919      
66.620003       12.979600       118.448395      45.360001       53.822506      
88.949997       50.271400       208.595154      90.059998       92.203331      
138.669998      25.629087       250.192810      59.439999       77.421669      
122.690002      16.591850       178.396774      45.130001       57.586666      
285.640015      9.719320        173.060944      44.430000       55.892666      
254.139999      0.667500        41.830002       27.170000       27.377001      
151.619995      0.188400        35.513401       22.020000       22.271563      
48.040001       0.167000        31.479502       19.459999       19.992144      
14.620000       0.153600        28.953602       18.379999       18.876665      
5.410000        0.150650        28.442722       19.160000       19.271749      
12.660000       1.179906        276.978333      22.950001       53.890793      
37.650002       18.002199       149.661636      47.259998       54.444164      
109.150002      49.971836       290.624756      108.300003      109.630829     
67.889999       67.158859       211.037613      119.000000      110.649162     
77.660004       22.027901       262.631195      81.089996       91.032501      
112.949997      52.102200       328.561584      126.500000      133.215012     
146.029999      23.658350       231.708786      103.400002      107.973328     
244.229996      1.293600        81.281197       61.939999       56.536671      
272.320007      0.369200        69.594193       52.720001       45.712498      
184.839996      0.325350        61.328472       46.520000       40.894669      
25.330000       0.302050        57.027039       44.349998       39.398579      
14.940000       0.425025        53.496479       42.419998       38.116581      
13.710000       74.343719       658.867981      139.699997      187.211670     
34.990002       26.908150       101.621368      84.660004       77.770836      
42.610001       35.991753       118.285759      88.980003       83.218330      
46.639999       23.511150       169.587189      72.279999       78.695831      
51.619999       0.858600        53.948696       40.599998       40.266666      
75.379997       28.570051       338.686371      87.160004       104.614166     
