Stname       L95PPU             U95PPU 
H-GW_RCHG_1.txt        0.253740           0.954990        
H-GW_RCHG_1.txt        0.297380           1.677440        
H-GW_RCHG_1.txt        0.308930           1.604840        
H-GW_RCHG_1.txt        0.275965           1.394403        
H-GW_RCHG_1.txt        0.262490           1.291865        
H-GW_RCHG_1.txt        0.241870           1.156456        
H-GW_RCHG_1.txt        0.216190           1.003072        
H-GW_RCHG_1.txt        0.203925           0.941040        
H-GW_RCHG_1.txt        0.173580           0.844830        
H-GW_RCHG_1.txt        0.156495           0.810060        
H-GW_RCHG_1.txt        0.136290           0.748230        
H-GW_RCHG_1.txt        0.109207           0.621120        
H-GW_RCHG_1.txt        0.234303           0.896408        
H-GW_RCHG_1.txt        0.386815           3.235648        
H-GW_RCHG_1.txt        0.406740           3.620808        
H-GW_RCHG_1.txt        0.369185           3.139352        
H-GW_RCHG_1.txt        0.347490           2.906008        
H-GW_RCHG_1.txt        0.333570           2.598472        
H-GW_RCHG_1.txt        0.293635           2.252896        
H-GW_RCHG_1.txt        0.276220           2.085912        
H-GW_RCHG_1.txt        0.243260           1.809380        
H-GW_RCHG_1.txt        0.251055           1.680465        
H-GW_RCHG_1.txt        0.249565           1.526309        
H-GW_RCHG_1.txt        0.254190           1.652940        
H-GW_RCHG_1.txt        0.309955           3.272391        
H-GW_RCHG_1.txt        0.302238           3.067100        
H-GW_RCHG_1.txt        0.333017           3.194860        
H-GW_RCHG_1.txt        0.316792           2.784258        
H-GW_RCHG_1.txt        0.301262           2.577988        
H-GW_RCHG_1.txt        0.273297           2.305053        
H-GW_RCHG_1.txt        0.241093           1.997957        
H-GW_RCHG_1.txt        0.227020           1.850180        
H-GW_RCHG_1.txt        0.200257           1.605944        
H-GW_RCHG_1.txt        0.197350           1.489720        
H-GW_RCHG_1.txt        0.188190           1.350672        
H-GW_RCHG_1.txt        0.191045           1.138496        
H-GW_RCHG_1.txt        0.241985           1.174180        
H-GW_RCHG_1.txt        0.231415           1.052605        
H-GW_RCHG_1.txt        0.237170           1.012790        
H-GW_RCHG_1.txt        0.204795           0.910665        
H-GW_RCHG_1.txt        0.186565           0.874770        
H-GW_RCHG_1.txt        0.162250           0.815000        
H-GW_RCHG_1.txt        0.136800           0.733600        
H-GW_RCHG_1.txt        0.127360           0.704560        
H-GW_RCHG_1.txt        0.129190           0.634240        
H-GW_RCHG_1.txt        0.277845           1.258470        
H-GW_RCHG_1.txt        0.593790           4.280840        
H-GW_RCHG_1.txt        0.557490           3.873870        
H-GW_RCHG_1.txt        0.655010           4.871630        
H-GW_RCHG_1.txt        0.729450           5.407351        
H-GW_RCHG_1.txt        0.749700           5.009100        
H-GW_RCHG_1.txt        0.664340           4.343420        
H-GW_RCHG_1.txt        0.624765           4.020195        
H-GW_RCHG_1.txt        0.567825           3.594975        
H-GW_RCHG_1.txt        0.499225           3.119186        
H-GW_RCHG_1.txt        0.469955           2.888412        
H-GW_RCHG_1.txt        0.446600           2.533533        
H-GW_RCHG_1.txt        0.438500           2.394125        
H-GW_RCHG_1.txt        0.402340           2.222817        
H-GW_RCHG_1.txt        0.342645           1.870635        
H-GW_RCHG_1.txt        0.351470           1.926365        
H-GW_RCHG_1.txt        0.335635           1.731460        
H-GW_RCHG_1.txt        0.343675           1.680300        
H-GW_RCHG_1.txt        0.306800           1.527800        
H-GW_RCHG_1.txt        0.289335           1.481660        
H-GW_RCHG_1.txt        0.264255           1.389980        
H-GW_RCHG_1.txt        0.233695           1.263220        
H-GW_RCHG_1.txt        0.220305           1.225780        
H-GW_RCHG_1.txt        0.194895           1.113420        
H-GW_RCHG_1.txt        0.183550           1.080800        
H-GW_RCHG_1.txt        0.167725           1.009525        
H-GW_RCHG_1.txt        0.144120           0.887480        
H-GW_RCHG_1.txt        0.165887           0.893975        
H-GW_RCHG_1.txt        0.190055           0.805080        
H-GW_RCHG_1.txt        0.182920           0.781520        
H-GW_RCHG_1.txt        0.154560           0.709360        
H-GW_RCHG_1.txt        0.139500           0.687000        
H-GW_RCHG_1.txt        0.121298           0.644160        
H-GW_RCHG_1.txt        0.101967           0.584680        
H-GW_RCHG_1.txt        0.091908           0.567320        
H-GW_RCHG_1.txt        0.077592           0.514680        
H-GW_RCHG_1.txt        0.069532           0.499320        
H-GW_RCHG_1.txt        0.064690           0.468320        
H-GW_RCHG_1.txt        0.050745           0.397360        
H-GW_RCHG_1.txt        0.050045           0.414760        
H-GW_RCHG_1.txt        0.042535           0.376480        
H-GW_RCHG_1.txt        0.038415           0.365120        
H-GW_RCHG_1.txt        0.032950           0.331600        
H-GW_RCHG_1.txt        0.029845           0.322160        
H-GW_RCHG_1.txt        0.026560           0.301680        
H-GW_RCHG_1.txt        0.022170           0.273760        
H-GW_RCHG_1.txt        0.020080           0.266240        
H-GW_RCHG_1.txt        0.017720           0.242160        
H-GW_RCHG_1.txt        0.015630           0.234640        
H-GW_RCHG_1.txt        0.014405           0.219840        
H-GW_RCHG_1.txt        0.034516           0.192240        
H-GW_RCHG_1.txt        0.195240           0.966920        
H-GW_RCHG_1.txt        0.223507           1.902940        
H-GW_RCHG_1.txt        0.244217           1.763260        
H-GW_RCHG_1.txt        0.237395           1.535384        
H-GW_RCHG_1.txt        0.226570           1.421544        
H-GW_RCHG_1.txt        0.208512           1.271440        
H-GW_RCHG_1.txt        0.185343           1.102176        
H-GW_RCHG_1.txt        0.176757           1.020544        
H-GW_RCHG_1.txt        0.156835           0.885432        
H-GW_RCHG_1.txt        0.149362           0.819675        
H-GW_RCHG_1.txt        0.148687           0.735406        
H-GW_RCHG_1.txt        0.127840           0.608480        
H-GW_RCHG_1.txt        0.130968           0.627283        
H-GW_RCHG_1.txt        0.116577           0.563765        
H-GW_RCHG_1.txt        0.111443           0.540607        
H-GW_RCHG_1.txt        0.099113           0.486100        
H-GW_RCHG_1.txt        0.095015           0.469880        
H-GW_RCHG_1.txt        0.086842           0.440260        
H-GW_RCHG_1.txt        0.077595           0.400240        
H-GW_RCHG_1.txt        0.074527           0.388780        
H-GW_RCHG_1.txt        0.066303           0.352580        
H-GW_RCHG_1.txt        0.062500           0.343000        
H-GW_RCHG_1.txt        0.058115           0.321080        
H-GW_RCHG_1.txt        0.049875           0.283000        
H-GW_RCHG_1.txt        0.054860           0.286120        
H-GW_RCHG_1.txt        0.063643           0.263480        
H-GW_RCHG_1.txt        0.062583           0.255120        
H-GW_RCHG_1.txt        0.053470           0.232320        
H-GW_RCHG_1.txt        0.047455           0.224480        
H-GW_RCHG_1.txt        0.041395           0.211120        
H-GW_RCHG_1.txt        0.035283           0.191320        
H-GW_RCHG_1.txt        0.031267           0.185480        
H-GW_RCHG_1.txt        0.027340           0.168520        
H-GW_RCHG_1.txt        0.025295           0.163760        
H-GW_RCHG_1.txt        0.022175           0.153400        
H-GW_RCHG_1.txt        0.017860           0.130080        
H-GW_RCHG_1.txt        0.016965           0.135520        
H-GW_RCHG_1.txt        0.014800           0.123400        
H-GW_RCHG_1.txt        0.012770           0.119560        
H-GW_RCHG_1.txt        0.011605           0.108440        
H-GW_RCHG_1.txt        0.010575           0.105600        
H-GW_RCHG_1.txt        0.008500           0.099000        
H-GW_RCHG_1.txt        0.007365           0.089720        
H-GW_RCHG_1.txt        0.007320           0.086960        
H-GW_RCHG_1.txt        0.006200           0.078600        
H-GW_RCHG_1.txt        0.005185           0.076680        
S-SNOW_1.txt        11.224999          11.224999       
S-SNOW_1.txt        43.799992          43.799992       
S-SNOW_1.txt        3.000000           3.000000        
S-SNOW_1.txt        3.799999           3.799999        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        26.211000          26.211000       
S-SNOW_1.txt        22.300001          22.300001       
S-SNOW_1.txt        10.510001          10.510001       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        7.893000           7.893000        
S-SNOW_1.txt        24.863005          24.863005       
S-SNOW_1.txt        43.054996          43.054996       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        28.129000          28.129000       
S-SNOW_1.txt        25.875000          25.875000       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        18.025999          18.025999       
S-SNOW_1.txt        37.527004          37.527004       
S-SNOW_1.txt        15.000000          15.000000       
S-SNOW_1.txt        6.200000           6.200000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        3.500000           3.500000        
S-SNOW_1.txt        12.699998          12.699998       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        6.000000           6.000000        
S-SNOW_1.txt        12.025001          12.025001       
S-SNOW_1.txt        6.775001           6.775001        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.924999           2.924999        
S-SNOW_1.txt        40.666004          40.666004       
S-SNOW_1.txt        5.000000           5.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.000000           2.000000        
S-SNOW_1.txt        9.300001           9.300001        
S-SNOW_1.txt        81.338005          81.338005       
S-SNOW_1.txt        13.801000          13.801000       
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        5.765000           5.765000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        3.500000           3.500000        
S-SNOW_1.txt        9.982001           9.982001        
S-SNOW_1.txt        8.886001           8.886001        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        2.200000           2.200000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        0.000000           0.000000        
S-SNOW_1.txt        5.400001           5.400001        
S-SNOW_1.txt        0.000000           0.000000        
S-PET_1.txt        15.052001          15.052001       
S-PET_1.txt        25.836000          25.836000       
S-PET_1.txt        69.276001          69.276001       
S-PET_1.txt        105.468010         105.468010      
S-PET_1.txt        160.727020         160.727020      
S-PET_1.txt        209.137955         209.137955      
S-PET_1.txt        212.019028         212.019028      
S-PET_1.txt        189.928970         189.928970      
S-PET_1.txt        154.251984         154.251984      
S-PET_1.txt        88.216003          88.216003       
S-PET_1.txt        54.577999          54.577999       
S-PET_1.txt        27.256998          27.256998       
S-PET_1.txt        17.847998          17.847998       
S-PET_1.txt        31.255003          31.255003       
S-PET_1.txt        58.567997          58.567997       
S-PET_1.txt        113.993004         113.993004      
S-PET_1.txt        149.402985         149.402985      
S-PET_1.txt        195.120987         195.120987      
