Stname           observed       L95PPU         U95PPU         Best_Sim
FLOW_OUT_7     35.470001       1.200020        72.515831       28.540001      
FLOW_OUT_7     33.680000       0.201150        37.816196       20.290001      
FLOW_OUT_7     10.440000       0.171850        32.135952       16.590000      
FLOW_OUT_7     0.750000        0.150500        28.294001       14.440000      
FLOW_OUT_7     3.830000        0.141400        26.653898       14.440000      
FLOW_OUT_7     2.030000        0.138200        26.050699       15.120000      
FLOW_OUT_7     1.580000        0.199350        25.091524       15.270000      
FLOW_OUT_7     4.550000        0.185025        23.288477       14.490000      
FLOW_OUT_7     9.700000        1.702217        103.225548      15.850000      
FLOW_OUT_7     14.480000       0.963787        41.965534       12.620000      
FLOW_OUT_7     16.940001       2.525755        45.528645       12.200000      
FLOW_OUT_7     23.990000       1.856365        71.007439       9.229000       
FLOW_OUT_7     69.919998       0.035775        8.776800        1.903000       
FLOW_OUT_7     63.209999       0.017490        5.363600        0.000000       
FLOW_OUT_7     15.770000       0.018491        4.536520        0.000000       
FLOW_OUT_7     3.850000        0.012054        3.756830        0.000000       
FLOW_OUT_7     1.260000        0.017322        5.312080        0.001200       
FLOW_OUT_7     0.340000        0.028838        7.190150        0.855500       
FLOW_OUT_7     0.400000        0.162150        99.451973       3.437000       
FLOW_OUT_7     0.620000        2.893432        56.634155       11.430000      
FLOW_OUT_7     7.900000        3.024710        61.271275       9.531000       
FLOW_OUT_7     0.980000        22.730501       220.607010      73.019997      
FLOW_OUT_7     3.270000        21.053984       430.988831      58.459999      
FLOW_OUT_7     2.240000        2.728828        118.695351      16.309999      
FLOW_OUT_7     0.330000        0.062050        11.417201       3.723000       
FLOW_OUT_7     0.130000        0.023469        7.314505        0.468000       
FLOW_OUT_7     0.000000        0.014943        4.582520        0.000000       
FLOW_OUT_7     0.000000        0.013461        4.195345        0.000000       
FLOW_OUT_7     0.000000        0.016137        5.069708        0.111000       
FLOW_OUT_7     0.290000        0.039970        7.546335        2.800000       
FLOW_OUT_7     0.430000        0.132900        24.453604       4.322000       
NO3_OUT_7     17000.000000    643.782227      37258.664063    6725.000000    
NO3_OUT_7     510000.000000   2315.683838     302816.156250   45920.000000   
NO3_OUT_7     56000.000000    160.736282      88910.062500    1520.000000    
NO3_OUT_7     61000.000000    110.519997      67785.593750    0.000000       
NO3_OUT_7     1100.000000     21.709091       14646.400391    0.000000       
NO3_OUT_7     14.000000       0.000000        0.000000        0.000000       
NO3_OUT_7     0.230000        0.000000        0.000000        0.000000       
NO3_OUT_7     5.800000        0.000000        0.000000        0.000000       
NO3_OUT_7     6.400000        0.000000        0.000000        0.000000       
NO3_OUT_7     3.200000        0.443833        244.996017      0.000000       
NO3_OUT_7     5800.000000     23.730000       14554.398438    13.880000      
NO3_OUT_7     7400.000000     40.634998       24922.796875    115.099998     
