.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.545	0.0058327336	-0.21215474	0.44514037	-0.36207712	5.884942	0.19447216	-0.23704214	0.18371276	1.3497043	0.39124028
q_0.55	0.005837167	-0.2118866	0.4452715	-0.36088684	5.8850619	0.19466518	-0.23671537	0.18371865	1.3510647	0.39149824
q_0.555	0.0058413887	-0.21160334	0.44534136	-0.3595807	5.8850619	0.19487426	-0.23642388	0.18372012	1.3524962	0.39169095
q_0.56	0.0058418578	-0.21157081	0.44535261	-0.35943557	5.8860034	0.1949874	-0.23604989	0.18372028	1.3536107	0.39214917
q_0.565	0.0058418578	-0.21156961	0.44535653	-0.35943557	5.8870626	0.19508855	-0.23566559	0.18372028	1.3546856	0.39264057
q_0.57	0.0058448644	-0.21097741	0.44599108	-0.35942784	5.8877917	0.19511024	-0.23543897	0.18373758	1.3557097	0.3927582
q_0.575	0.0058483255	-0.21029588	0.44672095	-0.35941895	5.888471	0.19511991	-0.23523618	0.1837575	1.3567262	0.39281933
q_0.58	0.0059237577	-0.21019262	0.44691294	-0.35897374	5.8924138	0.19526258	-0.23506922	0.18380079	1.3570712	0.39307483
q_0.585	0.006012042	-0.21019262	0.44700889	-0.35845063	5.8969394	0.19542898	-0.23490866	0.18384824	1.3572963	0.39336505
q_0.59	0.0060394332	-0.21016542	0.44705319	-0.35835367	5.9013322	0.19548099	-0.23456239	0.18385644	1.3611712	0.39346581
q_0.595	0.0060542002	-0.21013257	0.44708678	-0.35834506	5.9056974	0.19550927	-0.23417762	0.1838565	1.3658028	0.39352731
q_0.6	0.0062819308	-0.20998625	0.44750955	-0.35822603	5.917817	0.19556059	-0.23384615	0.18386974	1.3684365	0.39379191
q_0.605	0.0065602403	-0.20981298	0.44802474	-0.35808078	5.9317782	0.19561738	-0.23352734	0.18388611	1.3705958	0.39410476
q_0.61	0.0067148694	-0.20971166	0.4482576	-0.35788873	5.9368843	0.19563126	-0.23345971	0.1839722	1.3718219	0.39445093
q_0.615	0.0068362001	-0.20962971	0.44841444	-0.35768408	5.9396064	0.19563357	-0.23345971	0.18407707	1.3727967	0.39480608
q_0.62	0.0068876829	-0.20961067	0.45085559	-0.35759514	5.9404135	0.19567654	-0.23342124	0.18415469	1.3733562	0.39488859
q_0.625	0.0069180275	-0.20961067	0.45398805	-0.35754121	5.9406411	0.19573182	-0.23337112	0.18422406	1.3737899	0.39488859
q_0.63	0.0069728108	-0.20954285	0.45520949	-0.35713231	5.9417343	0.19581796	-0.2333428	0.18430055	1.3747273	0.39493355
q_0.635	0.0070358504	-0.20945212	0.45578533	-0.35660348	5.94312	0.19591452	-0.23332185	0.18437944	1.375835	0.3949937
q_0.64	0.0072457892	-0.20917826	0.45661055	-0.35625468	5.9443894	0.19594412	-0.23312214	0.18442121	1.3762595	0.39506684
q_0.645	0.0075108152	-0.20883571	0.45752929	-0.35597337	5.9456153	0.19594861	-0.2328554	0.18444907	1.3764278	0.39514486
q_0.65	0.0075962367	-0.20873537	0.45785367	-0.35588629	5.9476125	0.19596514	-0.23259253	0.1845209	1.3772652	0.395307
q_0.655	0.0076072506	-0.20873537	0.45793181	-0.35587967	5.9499293	0.19598666	-0.23233127	0.18461094	1.3783797	0.39550399
q_0.66	0.0076173508	-0.20872897	0.4581094	-0.3558776	5.9548966	0.19599383	-0.23216576	0.18463955	1.3792863	0.39561875
q_0.665	0.0076270343	-0.20871965	0.45833232	-0.3558776	5.9610722	0.19599446	-0.23204389	0.18464014	1.3800982	0.39569602
q_0.67	0.007688007	-0.20871404	0.45867103	-0.35512858	5.9637611	0.19601265	-0.23196539	0.18466384	1.3806654	0.39587693
q_0.675	0.0077746241	-0.20871029	0.45906763	-0.35400506	5.9647068	0.19603963	-0.23190858	0.18469908	1.3811102	0.39610965
q_0.68	0.0079978622	-0.20861435	0.45963151	-0.35360785	5.9696674	0.1960967	-0.23167428	0.18472552	1.3817967	0.39619347
q_0.685	0.0082958149	-0.20846799	0.46028688	-0.35360785	5.9768237	0.19617021	-0.23134293	0.18474714	1.3826152	0.39619585
q_0.69	0.0084430843	-0.20840791	0.46053182	-0.35346434	5.979871	0.19620134	-0.23112489	0.18475617	1.3845014	0.39681833
q_0.695	0.0085004296	-0.20839932	0.46053182	-0.35323518	5.9804662	0.19620718	-0.23097448	0.18475768	1.3870248	0.39781086
