r__CN2.mgt  v__ALPHA_BF.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ESCO.hru  v__CH_N2.rte  v__CH_K2.rte  v__ALPHA_BNK.rte  r__SOL_AWC(1).sol  r__SOL_K(1).sol  r__SOL_BD(1).sol  v__SFTMP.bsn       objfun
1.552400e-001  5.335600e-001  2.824000e+002  5.582800e-001  1.310600e-001  8.875900e-001  2.656400e-001  7.286200e+001  9.449200e-001  2.354600e-001  5.769400e-002  5.522600e-001  -2.602100e+000  2.460700e+005  
-1.736000e-001  1.466400e-001  3.870900e+002  1.881300e+000  1.048000e-001  8.462500e-001  1.130700e-001  8.597900e+001  7.931400e-001  -1.771100e-001  -8.071900e-002  4.270400e-001  -3.602200e+000  3.194900e+003  
1.742100e-001  7.508200e-001  4.498300e+002  1.016300e+000  7.721500e-002  9.389800e-001  9.707200e-002  1.287100e+002  8.295000e-001  -9.507300e-002  1.225200e-001  -1.704000e-001  1.470300e+000  3.333100e+005  
1.535200e-001  6.070100e-001  4.340100e+002  1.148400e+000  1.922600e-001  9.692800e-001  2.293000e-001  7.451400e+001  8.642500e-001  -2.193000e-002  -3.086700e-001  -2.854300e-001  -1.194500e+000  2.224900e+005  
-1.342800e-001  2.603400e-001  3.906700e+002  3.665800e-001  1.742300e-001  8.473600e-001  2.566600e-001  6.327400e+001  3.452300e-002  2.365200e-001  -6.488800e-001  3.456700e-001  2.198400e+000  4.422700e+003  
-2.387300e-002  5.044700e-001  1.067800e+002  2.786600e-002  1.254500e-001  9.375300e-001  2.082600e-001  2.745900e+001  8.199300e-001  2.370200e-001  -7.268800e-001  2.632200e-001  2.978800e+000  2.040800e+004  
4.575900e-002  1.968300e-001  4.347600e+002  6.157300e-001  1.838400e-001  9.733000e-001  9.363200e-002  2.742300e+001  6.418400e-001  3.482300e-001  -6.946400e-001  -1.432000e-001  3.111600e+000  3.483600e+004  
7.454600e-002  7.930900e-001  2.347900e+002  8.960200e-002  1.020900e-001  8.219700e-001  1.095100e-001  1.328400e+001  8.536600e-001  2.066600e-001  1.699600e-001  3.806400e-001  4.919200e+000  4.839600e+004  
9.062000e-002  2.497200e-001  2.842200e+002  1.441500e-001  1.987500e-002  9.168400e-001  1.467200e-001  6.530800e+001  3.731200e-001  2.729500e-001  4.179300e-001  -4.666600e-002  3.059900e+000  5.547500e+004  
1.282600e-001  7.372200e-001  1.936700e+002  1.493600e+000  8.189300e-002  9.847000e-001  4.810400e-002  5.170400e+001  1.739000e-001  6.900100e-002  -1.237000e-001  -2.211300e-001  3.008500e+000  9.966300e+004  
2.293100e-002  4.834900e-001  2.182900e+002  1.975600e+000  6.671300e-002  9.905400e-001  1.346500e-001  8.331700e+001  4.373500e-001  1.231700e-001  6.998000e-001  9.845000e-002  3.924900e-001  3.282000e+004  
-3.707300e-002  4.629900e-001  2.203100e+002  1.533900e+000  5.474600e-002  8.015400e-001  1.167000e-001  2.642400e+001  1.342200e-001  -1.822900e-001  -2.345500e-001  -1.799000e-001  4.790400e+000  9.915900e+003  
1.429100e-001  4.089500e-001  1.149300e+002  2.857500e-001  1.304200e-001  8.218600e-001  6.419000e-002  6.353900e+001  5.685100e-001  1.958800e-001  5.224000e-001  -1.817500e-001  -9.868700e-003  1.665100e+005  
4.520900e-002  7.966600e-002  3.530200e+002  1.953900e+000  1.519300e-001  9.233300e-001  1.626500e-002  1.645000e+001  5.215200e-001  -1.009300e-001  -5.167500e-001  -1.365900e-001  2.956600e+000  4.120300e+004  
9.204000e-002  8.034300e-001  4.141600e+002  7.264800e-001  2.444800e-002  8.324500e-001  1.031600e-001  1.051300e+002  8.300700e-001  -1.173700e-001  4.066400e-001  1.886900e-001  -2.610100e-001  7.584400e+004  
1.088700e-001  4.761800e-001  2.670600e+002  7.465700e-001  7.011600e-002  8.366900e-001  1.704400e-001  9.706100e+001  9.725300e-001  -1.964200e-001  5.704700e-001  3.358500e-001  -1.223000e+000  9.370600e+004  
-8.222200e-002  8.589700e-002  1.014500e+002  1.891500e+000  1.891400e-001  8.010500e-001  1.417700e-001  1.045900e+002  5.531000e-001  -4.154400e-002  1.237200e-001  3.763800e-001  4.658100e+000  6.655700e+003  
6.137100e-002  8.688000e-001  9.355200e+001  3.164400e-001  2.505600e-002  8.137500e-001  1.236200e-001  5.117300e+001  8.992400e-001  3.153700e-001  -2.391500e-001  -3.212600e-001  4.960700e+000  3.834800e+004  
