.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.6	-0.071224329	-0.25961166	0.47952132	-0.40943733	6.0628492	0.21055686	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.605	-0.071224329	-0.25959056	0.47955114	-0.40888972	6.0628492	0.21063745	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.61	-0.071224329	-0.25956946	0.47958096	-0.40834212	6.0628492	0.21071804	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.615	-0.071224329	-0.25954836	0.47961078	-0.40779452	6.0628492	0.21079863	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.62	-0.071224329	-0.25952726	0.4796406	-0.40724691	6.0628492	0.21087921	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.625	-0.071224329	-0.25950616	0.47967042	-0.40669931	6.0628492	0.2109598	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.63	-0.071224329	-0.25948506	0.47970024	-0.4061517	6.0628492	0.21104039	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.635	-0.071224329	-0.25946396	0.47973006	-0.4056041	6.0628492	0.21112098	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.64	-0.071224329	-0.25944286	0.47975988	-0.4050565	6.0628492	0.21120157	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.645	-0.071224329	-0.25942176	0.4797897	-0.40450889	6.0628492	0.21128216	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.65	-0.071224329	-0.25940065	0.47981952	-0.40396129	6.0628492	0.21136275	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.655	-0.071224329	-0.25937955	0.47984934	-0.40341368	6.0628492	0.21144334	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.66	-0.071224329	-0.25935845	0.47987916	-0.40286608	6.0628492	0.21152393	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.665	-0.071224329	-0.25933735	0.47990898	-0.40231847	6.0628492	0.21160452	-0.23796107	0.17171421	1.0448781	0.40102791
q_0.67	-0.071224329	-0.25930022	0.47993254	-0.40204589	6.0628492	0.21166519	-0.23796107	0.17171421	1.0450934	0.40102791
q_0.675	-0.071224329	-0.25925506	0.47995298	-0.40191083	6.0628492	0.21171591	-0.23796107	0.17171421	1.0454163	0.40102791
q_0.68	-0.071224329	-0.2592099	0.47997342	-0.40177576	6.0628492	0.21176663	-0.23796107	0.17171421	1.0457391	0.40102791
q_0.685	-0.071224329	-0.25916475	0.47999386	-0.40164069	6.0628492	0.21181734	-0.23796107	0.17171421	1.046062	0.40102791
q_0.69	-0.071224329	-0.25911959	0.48001429	-0.40150562	6.0628492	0.21186806	-0.23796107	0.17171421	1.0463849	0.40102791
q_0.695	-0.071224329	-0.25907444	0.48003473	-0.40137055	6.0628492	0.21191878	-0.23796107	0.17171421	1.0467078	0.40102791
q_0.7	-0.071224329	-0.25902928	0.48005517	-0.40123548	6.0628492	0.2119695	-0.23796107	0.17171421	1.0470307	0.40102791
q_0.705	-0.071224329	-0.25898413	0.48007561	-0.40110042	6.0628492	0.21202021	-0.23796107	0.17171421	1.0473536	0.40102791
q_0.71	-0.071224329	-0.25893897	0.48009604	-0.40096535	6.0628492	0.21207093	-0.23796107	0.17171421	1.0476765	0.40102791
q_0.715	-0.071224329	-0.25889381	0.48011648	-0.40083028	6.0628492	0.21212165	-0.23796107	0.17171421	1.0479994	0.40102791
q_0.72	-0.071224329	-0.25884866	0.48013692	-0.40069521	6.0628492	0.21217236	-0.23796107	0.17171421	1.0483223	0.40102791
q_0.725	-0.071224329	-0.2588035	0.48015735	-0.40056014	6.0628492	0.21222308	-0.23796107	0.17171421	1.0486452	0.40102791
